"ID","Outcome Date","Animal ID","Name","Outcome Status","Euthanasia Reason","Type","Sex","Spayed/Neutered","Primary Breed","Primary Color","Secondary Color","Date of Birth","Intake Date","Days in Shelter","Timestamp"
"12891","2025-05-05T10:08:00","6881","Honeysuckle","Euthanized","Injured","Cat","Female","Unknown","Himalayan","Cream","Brown","2020 May 05 12:00:00 AM","2025 May 05 09:55:00 AM","380","2026 May 20 04:07:03 PM"
"12912","2025-05-05T11:22:00","5994",,"Unresolved File",,"Cat","Male","No","Domestic Shorthair","Black",,"2023 Apr 20 12:00:00 AM","2023 May 03 12:00:00 AM","1.113","2026 May 20 04:07:03 PM"
"13060","2025-05-05T17:15:00","6885",,"Transfer Out",,"Dog","Female","No","German Shepherd","Buff","Cream","2025 Jan 05 12:00:00 AM","2025 May 05 10:40:00 AM","380","2026 May 20 04:07:03 PM"
"13052","2025-05-05T18:53:00","5970","OLLI","Adopted",,"Cat","Female","Yes","Domestic Shorthair","Orange Tabby",,"2014 Apr 20 12:00:00 AM","2025 May 02 12:00:00 AM","383","2026 May 20 04:07:03 PM"
"13159","2025-05-06T11:19:00","6338","SUZY","Adopted",,"Cat","Female","Yes","Domestic Shorthair","Brown Tabby",,"2019 Mar 17 12:00:00 AM","2025 Mar 17 12:00:00 AM","429","2026 May 20 04:07:03 PM"
"13192","2025-05-06T11:57:00","6807","Flint","Adopted",,"Cat","Male","Yes","RUSSIAN BLUE","Grey",,"2021 May 02 12:00:00 AM","2025 May 02 12:00:00 AM","383","2026 May 20 04:07:03 PM"
"13195","2025-05-06T12:10:00","6854","Missy","Reclaimed",,"Dog","Female","Yes","Chihuahua - Smooth","Tan","White","2016 May 04 12:00:00 AM","2025 May 04 12:00:00 AM","381","2026 May 20 04:07:03 PM"
"13213","2025-05-06T12:45:00","6690","*LAVENDER","Adopted",,"Dog","Female","Yes","Rat Terrier","Black","White","2022 Apr 25 12:00:00 AM","2025 Apr 25 12:00:00 AM","390","2026 May 20 04:07:03 PM"
"13214","2025-05-06T12:49:00","6506","*KIT KAT","Adopted",,"Dog","Male","Yes","Australian Cattle Dog","Tri Color",,"2022 Apr 15 12:00:00 AM","2025 Apr 10 12:00:00 AM","405","2026 May 20 04:07:03 PM"
"13239","2025-05-06T13:14:00","6877","Lucky","Reclaimed",,"Dog","Male","Yes","Poodle - Standard","White","White","2012 May 05 12:00:00 AM","2025 May 05 09:05:00 AM","380","2026 May 20 04:07:03 PM"
